Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
henrik fransson,92.32,890.0,93,EPF,2017-05-08,european equipped powerlifting championships
henrik hagen,92.77,860.0,93,IPF,2019-08-26,world juniors & sub-juniors championships
henrik jensvold,117.78,855.0,120,EPF,2017-05-08,european equipped powerlifting championships
henrik rilke,65.43,610.0,66,EPF,2012-07-17,european masters powerlifting championships
henrik skov nielsen,92.2,825.0,93,IPF,2012-11-10,world powerlifting championships
henry gerard,91.99,745.0,93,IPF,2014-09-21,world masters powerlifting championships
henryk sulik,91.16,652.5,93,EPF,2012-07-17,european masters powerlifting championships
heorhii tunyk,73.4,577.5,74,EPF,2019-05-04,european equipped powerlifting championships
hermanus de beer,114.0,650.0,120,IPF,2024-10-05,world classic & equipped masters powerlifting championships
hernan vargas velez libardo,116.95,695.0,120,IPF,2012-11-10,world powerlifting championships
heto jan,106.47,680.0,120,EPF,2023-07-05,european equipped masters powerlifting championships
hideki da silva,95.68,765.0,105,IPF,2019-08-26,world juniors & sub-juniors championships
hideki da silva,84.9,610.0,93,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
hidetoshi marumoto,58.78,485.0,59,IPF,2013-09-24,world masters powerlifting championships
hidetoshi marumoto,63.96,495.0,66,IPF,2012-10-02,world masters powerlifting championships
him wong kung,53.06,372.5,59,IPF,2014-09-21,world masters powerlifting championships
hinata shimokawa,67.15,515.0,74,IPF,2022-08-27,world junior equipped powerlifting championships
hiroki ikegami,58.52,582.5,59,IPF,2013-08-27,world juniors & sub-juniors championships
hiroki ikegami,63.72,597.5,66,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
hiromu kojima,65.95,632.5,66,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
hironori ishii,52.78,540.0,53,IPF,2013-08-27,world juniors & sub-juniors championships
hironori kurihara,104.5,900.0,105,IPF,2024-11-11,world open equipped powerlifting championships
hironori niwa,65.39,570.0,66,IPF,2013-09-24,world masters powerlifting championships
hiroshi ishikawa,73.6,765.0,74,IPF,2024-11-11,world open equipped powerlifting championships
hiroshi utsugi,72.9,597.5,74,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
hiroshi utsugi,82.8,730.0,83,IPF,2018-09-03,world juniors & sub-juniors championships
hiroto moriwaki,52.1,490.0,53,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
hiroyuki isagawa,57.68,605.0,59,IPF,2011-11-08,world powerlifting championships
hiroyuki terakado,65.2,500.0,66,IPF,2011-09-26,world masters powerlifting championships
hiroyuki terakado,70.7,560.0,74,IPF,2018-10-02,world masters powerlifting championships
hjálmar andrésson,100.65,697.5,105,IPF,2024-11-11,world open equipped powerlifting championships
hoi leung,82.92,700.0,83,IPF,2012-10-02,world masters powerlifting championships
hong-lin lin,103.35,755.0,105,IPF,2021-11-08,world powerlifting championships
