Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
inderraj singh dhillon,119.41,920.5,120,EPF,2023-12-04,european open classic powerlifting championships
ion calmic,92.6,807.5,93,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
irun sato,82.55,735.0,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
isaac baik,82.6,745.0,83,IPF,2019-06-04,world classic powerlifting championships
isaac whistler,119.16,827.5,120,IPF,2021-09-23,world classic powerlifting championships
isak asperud,92.58,772.5,93,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
ishtyaq nabi,58.85,582.5,59,IPF,2024-06-15,world classic powerlifting championships
israel cruz,65.5,610.0,66,IPF,2022-08-31,world junior classic powerlifting championships
ivaylo hristov,119.93,927.5,120,IPF,2015-06-05,world classic powerlifting championships
iván campano díaz,59.0,602.5,59,IPF,2023-06-11,world classic powerlifting championships
jacek spychała,82.79,755.0,83,IPF,2017-06-14,world classic powerlifting championships
jack hopkins,100.6,817.5,105,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
jack hopkins,92.22,807.5,93,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
jack reynolds,82.25,770.5,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
jack söderberg,82.65,787.5,83,IPF,2023-06-11,world classic powerlifting championships
jackson spencer,119.76,890.0,120,IPF,2018-06-06,world classic powerlifting championships
jacob nilsson #1,92.55,767.5,93,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
jake allison #1,65.92,610.0,66,IPF,2018-06-06,world classic powerlifting championships
jakub bellak,82.95,757.5,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
jakub pelikán,82.6,745.0,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
jakub sedláček,91.59,820.0,93,IPF,2017-06-14,world classic powerlifting championships
james adcock,82.0,735.0,83,EPF,2021-12-03,european classic powerlifting championships
james adcock,92.15,807.5,93,IPF,2022-08-31,world junior classic powerlifting championships
jamie jonathan foord,104.3,828.0,105,IPF,2023-10-31,world university powerlifting cup
jamie king #1,92.45,795.0,93,IPF,2023-06-11,world classic powerlifting championships
jared martin #1,118.75,852.5,120,IPF,2015-06-05,world classic powerlifting championships
jayden edwards,118.5,902.5,120,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
jens peter smalbro,119.55,847.5,120,IPF,2023-06-11,world classic powerlifting championships
jeroen van heesvelde,104.8,797.5,105,EPF,2022-12-17,benelux open powerlifting tournament
jesper vogelius,103.95,830.0,105,IPF,2024-06-15,world classic powerlifting championships
jesse moores,65.74,602.5,66,IPF,2015-06-05,world classic powerlifting championships
jesus olivares,178.2,1152.5,120+,IPF,2023-03-25,sheffield powerlifting championships
jezza uepa,184.81,1035.0,120+,IPF,2017-06-14,world classic powerlifting championships
ji hoon jeong,58.25,577.5,59,IPF,2024-06-15,world classic powerlifting championships
jimmy alcenat,92.8,770.0,93,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
joakim jørgensen,92.75,757.5,93,IPF,2019-06-04,world classic powerlifting championships
jochen strubbe,119.3,862.5,120,IPF,2024-06-15,world classic powerlifting championships
jody de ruiter,92.25,757.5,93,EPF,2023-09-08,western european powerlifting championships
joel christopher catena,65.8,632.5,66,IPF,2023-06-11,world classic powerlifting championships
joel immanuel vikesland,102.6,805.0,105,IPF,2022-06-06,world classic powerlifting championships
joey awala,82.62,772.5,83,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
johannes kristensen,83.0,757.5,83,EPF,2021-12-03,european classic powerlifting championships
john haack,82.8,813.0,83,IPF,2016-06-19,world classic powerlifting championships
john paul cauchi,65.84,627.5,66,IPF,2016-06-19,world classic powerlifting championships
john wortel,92.42,767.5,93,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
jon gruden,80.35,752.5,83,IPF,2017-06-14,world classic powerlifting championships
jonah wiendieck,119.34,925.5,120,IPF,2023-08-27,world junior and sub-junior classic championships
jonas wallqvist,92.35,757.5,93,EPF,2024-09-13,western european powerlifting championships
jonathan cayco,92.65,893.0,93,IPF,2024-02-10,sheffield powerlifting championships
jonathan celis,91.9,757.5,93,IPF,2023-08-27,world junior and sub-junior classic championships
jonathan garcia #1,65.55,707.5,66,IPF,2024-06-15,world classic powerlifting championships
jonathan lewis #1,92.44,792.5,93,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
jonathan söderling,82.65,732.5,83,IPF,2019-06-04,world classic powerlifting championships
jonatán barros,58.95,585.0,59,IPF,2022-08-31,world junior classic powerlifting championships
jordi van heijningen,92.96,773.0,93,IPF,2023-08-27,world junior and sub-junior classic championships
jose manuel villarubia tordesillas,82.3,740.0,83,IPF,2024-06-15,world classic powerlifting championships
joseph akisanmi,65.95,602.5,66,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
joseph diva,65.5,620.0,66,IPF,2024-06-15,world classic powerlifting championships
joseph jordan #2,65.8,697.5,66,IPF,2024-06-15,world classic powerlifting championships
joseph jordan #2,73.5,702.5,74,IPF,2023-06-11,world classic powerlifting championships
joseph walton #1,118.1,830.0,120,EPF,2019-11-29,european classic powerlifting championships
josh pearson,118.7,827.5,120,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
joshua greenfield,105.0,835.5,105,EPF,2019-11-29,european classic powerlifting championships
joshua lanivia,118.75,855.0,120,IPF,2024-06-15,world classic powerlifting championships
joshua wright #1,73.6,752.5,74,IPF,2024-06-15,world classic powerlifting championships
josé castillo #1,82.4,770.0,83,IPF,2014-06-01,world classic powerlifting championships
joël vanhevel,103.5,820.0,105,IPF,2024-06-15,world classic powerlifting championships
jules guillaume,65.61,600.0,66,IPF,2023-10-31,world university powerlifting cup
julien balangwe bakinien,92.95,822.5,93,IPF,2024-06-15,world classic powerlifting championships
jung liu,103.05,800.0,105,IPF,2023-06-11,world classic powerlifting championships
jure rus,82.16,752.5,83,IPF,2017-06-14,world classic powerlifting championships
jurins kengamu,82.65,845.0,83,IPF,2024-06-15,world classic powerlifting championships
jérémy vallerand,119.1,852.5,120,IPF,2023-08-27,world junior and sub-junior classic championships
kafui hotsonyame,82.4,770.0,83,IPF,2024-06-15,world classic powerlifting championships
kai-chieh chiang,82.05,792.5,83,IPF,2023-06-11,world classic powerlifting championships
kalin drashkov,65.97,640.0,66,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
kamo simonyan,113.75,865.0,120,IPF,2012-06-12,world classic powerlifting cup
karlo mikešić,104.57,835.0,105,EPF,2024-03-12,european open classic powerlifting championships
kasemsand senumong,65.3,707.5,66,IPF,2024-06-15,world classic powerlifting championships
kavwa sichone,65.8,642.5,66,IPF,2019-06-04,world classic powerlifting championships
kaylon godoy,119.65,860.0,120,IPF,2022-06-06,world classic powerlifting championships
keith mchoney,64.88,657.5,66,IPF,2016-06-19,world classic powerlifting championships
kelly branton,164.0,990.0,120+,IPF,2017-06-14,world classic powerlifting championships
kerry dennison,116.85,857.5,120,IPF,2023-06-11,world classic powerlifting championships
kieran gray,119.99,907.5,120,EPF,2022-11-25,european classic powerlifting championships
kjell egil bakkelund,73.55,812.5,74,IPF,2024-06-15,world classic powerlifting championships
kjell egil bakkelund,77.36,773.0,83,EPF,2017-09-23,arnold's europe powerlifting championships
knut martin haraldsen,91.85,772.5,93,EPF,2018-11-24,european classic powerlifting championships
kole metts,59.0,585.0,59,IPF,2019-06-04,world classic powerlifting championships
kolter kaarel,109.68,842.5,120,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
konstantin dunin,73.55,720.0,74,IPF,2019-06-04,world classic powerlifting championships
konstantin dunin,81.85,762.5,83,EPF,2021-12-03,european classic powerlifting championships
konstantin dyashkin,82.13,735.0,83,IPF,2017-06-14,world classic powerlifting championships
konstantin musaev,119.9,927.5,120,IPF,2021-09-23,world classic powerlifting championships
kristian eek haugen,116.4,867.5,120,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
kristóf bence budai,104.84,812.5,105,EPF,2022-11-25,european classic powerlifting championships
kristóf bence budai,119.75,900.0,120,IPF,2024-06-15,world classic powerlifting championships
krzysztof wierzbicki,99.6,895.5,105,IPF,2019-01-27,reykjavík international games
krzysztof wierzbicki,92.25,847.5,93,IPF,2014-06-01,world classic powerlifting championships
kwaku antwi,92.5,827.5,93,IPF,2024-06-15,world classic powerlifting championships
kwaku nyarko,57.5,577.5,59,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
kyle graham,82.2,750.0,83,IPF,2022-06-06,world classic powerlifting championships
kyle nowak #1,65.54,667.5,66,IPF,2023-08-27,world junior and sub-junior classic championships
kyota ushiyama,65.65,692.5,66,IPF,2024-06-15,world classic powerlifting championships
laurits enemark due,113.62,832.5,120,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
layne norton,91.48,798.0,93,IPF,2015-06-05,world classic powerlifting championships
leon pham,65.97,642.5,66,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
leonardo sucitra,73.6,722.5,74,IPF,2024-06-15,world classic powerlifting championships
levon tavakalov,104.84,875.0,105,IPF,2021-09-23,world classic powerlifting championships
lewis kelly,119.13,840.0,120,IPF,2024-07-23,fisu world university powerlifting championships
lewis noppers,65.6,605.0,66,IPF,2016-06-19,world classic powerlifting championships
lorenzo lupo,92.05,760.0,93,EPF,2021-12-03,european classic powerlifting championships
ls mcclain,104.56,830.0,105,IPF,2022-10-08,world masters classic & equipped powerlifting championships
ls mcclain,92.78,827.5,93,IPF,2017-06-14,world classic powerlifting championships
luca umberto angrisano,92.55,800.0,93,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
lucas wiseman,118.7,900.0,120,IPF,2024-06-15,world classic powerlifting championships
luciano delorenzi,119.7,825.0,120,IPF,2023-06-11,world classic powerlifting championships
luke homer,65.4,620.0,66,IPF,2019-06-04,world classic powerlifting championships
luke richardson #1,147.25,1010.5,120+,EPF,2018-11-24,european classic powerlifting championships
luke tremblay,104.1,825.0,105,IPF,2019-06-04,world classic powerlifting championships
léoluca bruzzese,65.84,642.5,66,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
mads pedersen,82.34,742.5,83,EPF,2024-03-12,european open classic powerlifting championships
majed fallata,65.93,618.0,66,IPF,2024-07-23,fisu world university powerlifting championships
maksim beznosov,119.35,835.0,120,EPF,2021-12-03,european classic powerlifting championships
malik bernoussi triolet,92.62,808.0,93,IPF,2023-08-27,world junior and sub-junior classic championships
manson adagu,82.95,802.5,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
mao kaneko,91.76,777.5,93,IPF,2023-10-31,world university powerlifting cup
marc rius i pecanins,91.8,805.0,93,EPF,2023-12-04,european open classic powerlifting championships
marcin goleń,104.76,847.5,105,IPF,2017-06-14,world classic powerlifting championships
marcos albaladejo castro,72.95,720.0,74,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
marcos souto romero,73.9,702.5,74,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
margus silbaum,104.99,805.0,105,EPF,2024-03-12,european open classic powerlifting championships
